Point Cloud Visibility
87
Visibility for camera IMG_20241230_135636.jpg
689
530 1809.38 638.366
531 1812.43 756.071
532 1814.52 795.387
533 1814.52 795.387
534 1820.47 717.653
535 1820.47 717.653
536 1821.69 804.56
537 1830.41 551.536
538 1833.32 758.89
539 1833.37 781.083
540 1834.1 640.345
541 1834.45 658.005
542 1838.47 603.235
543 1841.02 631.568
544 1842.28 763.271
545 1843.31 790.645
546 1844.2 775.822
547 1844.75 623.77
548 1844.75 623.77
549 1849.71 816.655
550 1849.91 707.46
551 1851.6 791.902
552 1852.33 721.702
553 1852.42 784.403
554 1852.59 671.818
555 1854.4 665.201
556 1854.54 697.065
557 1854.54 697.065
558 1855.01 835.471
559 1855.48 748.371
560 1862.67 621.914
561 1865.07 697.739
562 1868.09 713.756
563 1868.09 713.756
564 1869.51 630.086
565 1870.5 794.217
566 1875.81 812.582
567 1883.65 709.139
568 1884.05 702.565
569 1888.68 823.133
570 1893.5 830.798
571 1894.33 633.205
572 1899.1 749.444
573 1899.1 749.444
574 1901.16 632.961
575 1901.83 622.784
576 1902.25 635.446
577 1902.44 581.168
578 1902.62 817.993
579 1904.25 649.077
580 1907.06 810.627
581 1910.24 709.135
582 1912.02 734.106
583 1917.87 663.923
584 1924.02 779.101
585 1930.88 629.54
586 1933.97 656.551
587 1933.97 656.551
588 1934.35 592.153
589 1942.82 654.137
590 1944.85 687.601
591 1949.11 775.488
592 1949.11 775.488
593 1954.26 722.185
594 1971.19 640.869
595 1972.82 627.752
596 1973.37 677.83
597 1976.12 692.46
598 1981.79 827.738
599 1985.08 515.432
600 1987.26 620.027
601 1989.87 746.702
602 1989.87 746.702
603 1991.92 902.463
604 1993.78 658.744
605 1994.54 640.912
606 2006.36 712.086
607 2010.6 625.002
608 2013.64 804.182
609 2018.52 768.935
610 2023.31 713.396
611 2026.06 696.168
612 2028.77 756.387
613 2032.24 737.3
614 2037.13 820.719
615 2039.73 728.202
616 2044.36 659.057
617 2048.19 760.258
618 2053.37 813.19
619 2054.08 769.941
620 2055.68 733.893
621 2082.36 673.23
622 2086.67 629.346
623 2102.17 709.43
624 2104.28 769.845
625 2106.56 548.765
626 2111.92 817.714
627 2118.3 652.966
628 2120.34 752.456
629 2120.34 752.456
630 2121.02 676.123
631 2123.11 813.438
632 2127.84 648.948
633 2131.22 758.982
634 2131.24 742.614
635 2132.98 545.94
636 2139.98 733.595
637 2140.05 755.091
638 2148.71 769.051
639 2150.91 665.659
640 2159.76 652.002
641 2161.24 587.784
642 2170 744.176
643 2170 744.176
644 2171.08 722.277
645 2176.29 585.982
646 2177.58 714.728
647 2177.58 714.728
648 2187.64 669.688
649 2189.82 765.628
650 2197.41 728.165
651 2198.67 797.432
652 2207.13 712.744
653 2208.15 1101.27
654 2210.97 812.936
655 2220.19 723.385
656 2229.95 738.769
657 2247.28 699.728
658 2248.76 1085.92
659 2254.44 658.253
660 2257.69 661.899
661 2257.69 661.899
662 2267.97 692.659
663 2269.05 686.285
664 2276.76 670.755
665 2277.97 724.378
666 2278.7 716.113
667 2280.56 743.787
668 2284.31 700.047
669 2289.17 712.358
670 2297.91 661.623
671 2297.91 661.623
672 2298.79 750.976
673 2298.79 750.976
674 2321.19 676.012
675 2354.6 1140.98
676 2361.67 639.555
677 2407.94 649.057
678 2412.38 759.718
679 2413.94 634.979
680 2416.59 1131.22
681 2427.72 1183.98
682 2437.53 1089.44
683 2462.98 1129.23
684 2472.72 1209.65
685 2479.99 698.862
686 2519.45 660.058
687 2525.05 704.602
688 2588.57 680.581
Visibility for camera IMG_20241230_135638.jpg
668
12 252.891 725.581
21 295.813 794.468
30 347.927 331.936
36 392.496 293.145
37 396.059 489.578
41 407.377 537.944
42 407.377 537.944
44 418.089 819.625
46 434.38 560.796
47 436.052 550.436
49 443.689 584.476
50 448.964 859.58
51 447.995 706.332
52 447.995 706.332
53 453.39 741.898
54 457.919 894.013
55 462.406 545.424
64 472.393 520.384
65 473.554 520.977
66 486.661 621.131
67 486.319 556.103
68 486.276 508.007
69 490.395 474.844
71 497.909 758.03
73 496.77 544.219
75 503.802 732.674
77 507.196 420.887
78 510.991 521.667
80 516.942 537.634
81 517.746 556.968
85 521.662 395.136
86 524.731 465.282
89 535.232 372.249
90 541.806 544.904
91 541.545 447.272
92 544.152 555.786
93 549.753 478.689
95 554.803 619.305
96 554.965 527.956
97 554.965 527.956
98 567.956 725.006
100 566.317 556.372
102 570.423 467.405
103 572.392 640.877
104 581.736 476.239
106 582.919 436.341
107 585.574 569.678
108 583.904 416.953
109 583.904 416.953
111 592.28 463.548
112 596.089 742.741
113 594.039 587.127
116 596.072 517.185
118 600.586 581.04
120 604.726 634.982
122 610.597 565.943
123 612.071 628.06
125 611.518 463.968
126 614.069 485.307
127 615.755 471.932
128 618.877 570.666
130 625.691 591.331
131 626.566 419.641
132 629.146 497.381
133 634.145 886.11
134 635.652 637.119
141 642.097 525.173
142 641.345 452.2
143 641.833 487.298
144 639.988 432.772
145 646.731 412.618
146 649.543 500.918
147 653.242 636.835
148 649.429 515.17
153 660.016 628.225
161 671.301 329.324
162 676.071 629.302
163 675.998 622.237
164 675.114 569.089
165 674.071 391.753
166 676.909 431.451
167 680.411 583.712
168 681.268 609.649
171 681.614 599.992
172 689.16 759.373
173 689.16 759.373
174 683.056 432.59
177 690.627 534.985
178 689.018 398.133
179 693.209 647.257
180 693.209 647.257
182 692.753 606.355
184 693.548 583.413
185 696.03 595.765
186 694.512 496.068
187 698.04 684.1
188 696.05 532.566
189 696.373 479.068
190 698.336 424.91
191 701.39 468.181
192 701.7 405.389
193 707.127 683.594
194 707.756 438.277
195 712.518 592.78
196 712.518 592.78
197 710.192 430.654
198 711.271 479.665
200 716.136 630.083
201 716.136 630.083
204 717.522 586.321
206 723.269 598.33
207 724.66 549.126
208 724.433 475.759
209 725.808 482.576
211 730.278 578.391
212 731.771 593.454
213 728.644 406.148
215 735.106 621.673
218 738.518 612.027
219 736.961 547.11
220 736.961 547.11
221 741.902 703.311
222 741.548 614.447
223 742.698 591.953
224 747.986 582.618
226 747.301 511.236
227 750.333 722.807
230 752.036 621.426
231 754.521 681.362
232 751.346 481.942
235 760.413 733.79
236 757.528 574.954
237 757.528 574.954
238 759.383 512.406
239 763.076 720.459
240 763.938 626.581
241 764.568 598.705
242 764.568 598.705
243 762.548 433.519
244 763.948 482.616
245 767.767 531.572
248 768.182 552.401
250 773.899 764.002
251 774.763 555.299
252 777.871 567.07
253 779.424 584.869
254 779.424 584.869
257 786.991 556.987
259 788.394 487.873
260 794.951 740.595
264 803.564 731.587
265 803.564 731.587
266 800.802 515.284
267 804.08 594.559
268 805.365 553.846
269 807.839 523.12
270 806.101 384.363
274 808.683 463.391
275 810.561 545.429
